Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
몽촌토성,관광,성곽명,서울특별시 송파구 올림픽로 424 올림픽공원,#가족여행#관광지#교과서속여행#몽촌박물관#몽촌역사관#몽촌토성#박물관#백제토성#수도권#아이와함께#역사#역사공부#역사관광#역사를품은곳#역사문화#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사유적지#역사이야기#역사탐험#올림픽공원#한성백제,26,1,0,3,west
서대문자연사박물관,관광,박물관,서울특별시 서대문구 연희로32길 51,#가족과함께#가족나들이#가족여행#단체관람#문화시설#박물관#서대문자연사박물관#아이와함께#자연사박물관#체험학습#친구와함께,"1,914",0,2,2,cafe
푸른수목원,관광,"식물원,수목원",서울특별시 구로구 서해안로 2117,#관광지#서울가을나들이#서울산책로#서울수목원#서울시1호공립식물원#수목원#자연#자연환경#최초시립수목원#푸른수목원#항동철길#항동푸른수목원,400,0,0,7,west
송파책박물관,관광,박물관,서울특별시 송파구 송파대로37길 77,#독서체험#문화시설#송파책박물관#아이와함께가볼만한곳#어린이관람시설#어린이체험교육#책박물관#책체험전시실#체험학습,299,0,0,1,korean
숭례문,관광,기념물,서울특별시 중구 세종대로 40,#2024_여행가는달과함께하는_발도장여행지#관광지#교과서속여행#국보#국보1호#남대문#서울가볼만한곳#수도권#숭례문#아이와함께#역사#역사문화재#역사여행#역사유적지#역사체험,115,0,기념물,3,korean
와룡공원,관광,"도시,테마공원",서울특별시 종로구 와룡공원길 192,#가족들과 함께#관광지#근린공원#나들이코스#도시자연공원#산책코스#산책하기좋은곳#서울의공원#와룡공원#와룡근린공원#종로구,11,0,1,5,korean
방학동도깨비시장,관광,시장,서울특별시 도봉구 도당로 85-7,#나들이#나홀로여행#데이트코스#도깨비시장#만물시장#벼룩시장#쇼핑#수도권#아이와함께#연인과함께#이색체험#전통시장#전통시장투어#전통역사문화체험#체험학습#친구와함께#황학동벼룩시장#힐링,39,0,0,1,korean
몽마르뜨공원,관광,"도시,테마공원",서울특별시 서초구 반포동 산59-1,#가족과함께#공원#관광지#마포공원#몽마르뜨공원#산책#산책길#산책하기#산책하기좋은곳#서래마을공원#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링산책,18,0,0,5,korean
이순신장군동상,관광,기념물,서울특별시 종로구 세종대로 172,#관광지#광화문광장#교과서속여행#남녀노소#도심여행#산책하기#산책하기좋은곳#수도권#아이와함께#역사여행#역사이야기#체험학습#충무공이순신동상,20,0,0,6,korean
채그로,음식,북카페,서울특별시 마포구 마포대로4다길 31,#독서#마포구가볼만한곳#복합문화시설#북카페#서울#쇼핑#채그로#책#힐링공간,201,0,북카페,3,korean
롯데월드몰,관광,쇼핑복합시설,서울특별시 송파구 올림픽로 300 롯데월드몰,#관광지#데이트코스#도심여행#롯데월드몰#롯데월드타워#롯데월드타워&롯데월드몰#문화행사#미세먼지_피하는_실내여행#복합문화공간#수도권#실내데이트#실내여행지#실내여행지#잠실쇼핑#전망대#한류,"2,454",0,0,7,korean
