관광지명,주소,리뷰참여인원,관광지분류명
[백년가게]청해진,서울특별시 강동구 강동대로 187 파크비유캐슬 1층,390명 참여,"해물,생선요리"
마장갈비,서울특별시 성동구 마조로3가길 11,136명 참여,"육류,고기요리"
엘 샌드위치,서울특별시 종로구 율곡로4길 14,352명 참여,샌드위치
허형만의 압구정커피집,서울특별시 강남구 압구정로 151 신현대상가 2동 107호,53명 참여,카페
비스테까,서울특별시 용산구 회나무로 49 비스테까,394명 참여,이탈리아음식
함흥에겨울냉면,서울특별시 중구 동호로24길 21,11명 참여,냉면
친니,서울특별시 종로구 세종대로 175 세종문화회관 지하 1층,955명 참여,중식당
장미삼계탕,서울특별시 노원구 화랑로 449-10,106명 참여,"백숙,삼계탕"
오다리집,서울특별시 중구 명동8나길 28 2층 3층,110명 참여,한식
서석대,서울특별시 서초구 서초대로 346 동아빌라트 A동 1층,279명 참여,소고기구이
뉴서울호텔,서울특별시 중구 세종대로22길 16 뉴서울호텔,113명 참여,3성급
호텔마누(HOTEL MANU),서울특별시 중구 퇴계로 19 남풍빌딩,59명 참여,3성급
프로비스타 호텔,서울특별시 서초구 서초대로 338,45명 참여,2성급
베니키아 프리미어 호텔 베르누이,서울특별시 구로구 경인로 229,57명 참여,3성급
페어몬트 앰배서더 서울 (Fairmont Ambassador Seoul),서울특별시 영등포구 여의대로 108 페어몬트 앰배서더 서울 호텔,440명 참여,5성급
산들애건강밥상,서울특별시 은평구 대서문길 43-16,"1,250명 참여",한식
하이디라오 서초지점,서울특별시 서초구 서초대로77길 54 2층 하이디라오 훠궈,"1,344명 참여",중식당
명동부대찌개 명동황기족발,서울특별시 중구 명동길 25-7,179명 참여,"찌개,전골"
남포면옥,서울특별시 중구 을지로3길 24,"1,724명 참여",냉면
진미평양냉면,서울특별시 강남구 학동로 305-3,"2,085명 참여",냉면
아리랑,서울특별시 중구 남대문로7길 23 전통한국식당,326명 참여,"육류,고기요리"
나인트리호텔 명동,서울특별시 중구 명동10길 51,42명 참여,3성급
금돼지식당,서울특별시 중구 다산로 149,"2,381명 참여",돼지고기구이
광야 서울,서울특별시 마포구 월드컵북로4길 82 1층 광야,"1,325명 참여",이탈리아음식
전주식당,서울특별시 노원구 화랑로 449-8 101호 전주식당,406명 참여,한식
전주유할머니비빔밥,서울특별시 중구 세종대로14길 27-2,136명 참여,비빔밥
카페 폭포,서울특별시 서대문구 연희로 262-24,343명 참여,"카페,디저트"
국시집,서울특별시 성북구 창경궁로43길 9,207명 참여,국수
갈비명가이상 돈암본관,서울특별시 성북구 정릉로 364,"1,251명 참여","육류,고기요리"
개화,서울특별시 서초구 동작대로 86 동주빌딩 지하1층,381명 참여,중식당
제리스플래닛,서울특별시 강남구 강남대로92길 13 Jerry's planet Building,23명 참여,1성급
삼호복집 신촌,서울특별시 서대문구 연세로5다길 10 2층,187명 참여,복어요리
해랑,"서울특별시 강남구 봉은사로1길 39 유성빌딩 1층, 2층",76명 참여,"매운탕,해물탕"
종가집,서울특별시 종로구 인사동길 15-13 종가집,264명 참여,한식
주은감자탕,서울특별시 송파구 삼학사로 71,"1,362명 참여",감자탕
신안촌,서울특별시 종로구 사직로12길 8,309명 참여,한정식-일반
라브리,서울특별시 종로구 종로 1 교보생명빌딩 2층,83명 참여,프랑스음식
오우가,서울특별시 중구 명동8가길 37,354명 참여,쌈밥
이닝,"서울특별시 강남구 도산대로58길 14 이닝빌딩 1,2층",156명 참여,중식당
박가네빈대떡,서울특별시 종로구 종로32길 7,"4,122명 참여","전,빈대떡"
원대구탕,서울특별시 용산구 한강대로62가길 8 원대구탕,"1,325명 참여","해물,생선요리"
전통다원,서울특별시 종로구 인사동10길 11-4,928명 참여,차
마천공원,서울특별시 송파구 성내천로23길 12,19명 참여,근린공원
은호식당,서울특별시 중구 남대문시장4길 28-4 은호식당,330명 참여,한식
메트로호텔,서울특별시 중구 명동9가길 14 메트로호텔,33명 참여,3성급
남문토방,서울특별시 중구 남대문시장길 45-3 부자프라자 지하1층,90명 참여,오리요리
옛날중국집,서울특별시 성북구 성북로8길 8,520명 참여,중식당
완차이,서울특별시 서대문구 명물길 50-7 1층 완차이,205명 참여,중식당
너비집,서울특별시 중구 명동9길 37-8 너비집,225명 참여,한식
남원집,서울특별시 성동구 살곶이길 18 2층 201호,57명 참여,"육류,고기요리"
메종 드 라 카테고리,서울특별시 강남구 선릉로 826,281명 참여,프랑스음식
꼼떼 바베큐 둔촌본점,서울특별시 강동구 동남로51길 9 1층,934명 참여,양식
마산옥,서울특별시 강남구 강남대로152길 9,79명 참여,"아귀찜,해물찜"
오향족발,서울특별시 중구 서소문로 134-7,"1,445명 참여","족발,보쌈"
봉피양 방이점,서울특별시 송파구 양재대로71길 1-4,761명 참여,한식
우스마니아,서울특별시 용산구 우사단로 34,13명 참여,아시아음식
부티크호텔K 동대문점,서울특별시 동대문구 천호대로 341,14명 참여,3급
타볼로24,서울특별시 종로구 청계천로 279 2층,"1,632명 참여",뷔페
뜰과다원,서울특별시 종로구 인사동길 34 1F 뜰과다원,767명 참여,한방카페
안동할매청국장,서울특별시 성북구 성북로5길 9-3 일신빌딩,642명 참여,"찌개,전골"
고향풍천장어,서울특별시 서초구 방배로 189,127명 참여,"장어,먹장어요리"
린스시,서울특별시 서초구 반포대로12길 10 송원빌딩,93명 참여,일식당
스시조,서울특별시 중구 소공로 106,30명 참여,일식당
역전회관,서울특별시 마포구 토정로37길 47,970명 참여,한식
마포소문난원조족발,서울특별시 마포구 만리재로 19 공덕시장,802명 참여,"족발,보쌈"
워킹온더클라우드,서울특별시 영등포구 63로 50 한화생명빌딩 59층,"2,843명 참여",양식
니와,서울특별시 용산구 이촌로75길 22 1,108명 참여,일식당
제비다방,서울특별시 마포구 와우산로 24,68명 참여,테마카페
현대시장,서울특별시 관악구 양녕로 49,15명 참여,시장
사랑채,서울특별시 관악구 남부순환로246길 5 2층,114명 참여,요리주점
임피리얼 팰리스 부티크 호텔,서울특별시 용산구 이태원로 221,44명 참여,3성급
호텔국도,서울특별시 중구 을지로 164,62명 참여,3성급
루이,서울특별시 중구 세종대로21길 40,224명 참여,중식당
동해도 광화문,서울특별시 중구 무교로 28 시그너스빌딩 지하1층 동해도,729명 참여,일식당
희락갈치,서울특별시 중구 남대문시장길 22-6,"2,337명 참여","해물,생선요리"
현대칼국수,서울특별시 중구 세종대로 76 청남빌딩,499명 참여,"칼국수,만두"
장안동 먹깨비 간장게장 해물아구찜,서울특별시 동대문구 장한로 92 1층,580명 참여,게요리
미림산장,서울특별시 강북구 삼양로181길 253 우이동 미림산장,424명 참여,한식
라마다 바이윈덤 서울 동대문,서울 중구 동호로 354 라마다 바이 윈덤 서울 동대문,54명 참여,3성급
은평역사한옥박물관,서울특별시 은평구 연서로50길 8 은평역사한옥박물관,381명 참여,박물관
청담나인,"서울특별시 강남구 삼성로 634 B1, B2",193명 참여,양식
신강양꼬치,서울특별시 마포구 토정로37길 21,132명 참여,양꼬치
베니키아 노블 호텔,서울특별시 종로구 율곡로6길 13-3 노블 관광호텔,54명 참여,2성급
화니 신세계 강남점,서울특별시 서초구 신반포로 176 신세계백화점 강남점 11층,"1,040명 참여",한식
돈까스잔치 동빙고점,서울특별시 용산구 서빙고로 297,"2,013명 참여",돈가스
신촌 닭한마리 유닭스토리,서울특별시 서대문구 연세로4길 7 1층,"2,319명 참여",닭요리
꼴라주,서울특별시 용산구 한남대로20길 47-24 1층replace 한남 D동 1층,200명 참여,양식
카나디안 랍스터,서울특별시 서초구 남부순환로 2385 3층 카나디안랍스타,31명 참여,바닷가재요리
청해진,서울특별시 동작구 노들로 674 노량진수산시장 신관 2층 20호 청해진,815명 참여,생선회
한모네 순대국,서울특별시 광진구 자양로18길 56 거송빌딩 1층 103호,127명 참여,"순대,순댓국"
마쯔야,서울특별시 중구 소공로 63 본관 5층,651명 참여,돈가스
춘천집닭갈비막국수,서울특별시 서대문구 연세로5가길 1,567명 참여,닭갈비
또순이원조순대,서울특별시 관악구 신림로59길 14,"1,643명 참여","순대,순댓국"
타지펠리스,서울특별시 용산구 우사단로 39,113명 참여,인도음식
우리집떡볶이,서울특별시 중구 다산로 217-1,676명 참여,떡볶이
비하인드(B-hind),서울특별시 성북구 동소문로6길 16-4,24명 참여,"맥주,호프"
미니네,서울특별시 중구 다산로 219-1,549명 참여,떡볶이
파툼(FATUM),서울특별시 종로구 삼청로 86-5,248명 참여,카페
