언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,강남구,서울특별시,Seoul Bongeunsa Temple (遊??(?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264594,인문(문화/예술/역사),역사관광지,사찰,16057
영어권,중구,서울특별시,HiKR Ground (하이커 그라운드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2842534,인문(문화/예술/역사),문화시설,컨벤션센터,14406
영어권,강남구,서울특별시,Starfield Library (蹂?留?밸???愿?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2642344,인문(문화/예술/역사),문화시설,도서관,13268
영어권,강남구,서울특별시,Apgujeong Rodeo Street (?援ъ? 濡?곗?ㅺ굅由,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264107,인문(문화/예술/역사),체험관광지,이색체험,12654
영어권,중구,서울특별시,Namsangol Hanok Village (⑥?곌낏?λ?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264116,인문(문화/예술/역사),역사관광지,민속마을,12591
영어권,영등포구,서울특별시,Hangang River Ferry Cruise (대???щ（利? (?媛??)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1796840,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,11989
영어권,중구,서울특별시,Lotte Department Store - Main Branch (濡?곕갚?? (蹂몄?)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273755,쇼핑,쇼핑,백화점,11864
영어권,종로구,서울특별시,Seoul Jogyesa Temple (議곌?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264352,인문(문화/예술/역사),역사관광지,사찰,11837
영어권,마포구,서울특별시,Hongdae (Hongik University Street) (??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1326972,인문(문화/예술/역사),체험관광지,이색체험,11529
영어권,강남구,서울특별시,COEX Aquarium (肄???荑?由ъ??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=736274,인문(문화/예술/역사),휴양관광지,테마공원,11320
영어권,용산구,서울특별시,Itaewon Special Tourist Zone (댄??? 愿?愿?밴뎄),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264358,인문(문화/예술/역사),휴양관광지,관광단지,11020
영어권,중구,서울특별시,Shinsegae Department Store - Main Branch (멸諛깊??? (蹂몄?)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273750,쇼핑,쇼핑,백화점,10378
영어권,종로구,서울특별시,Cheong Wa Dae (Blue House) (청와대),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264134,인문(문화/예술/역사),건축/조형물,유명건물,10095
영어권,용산구,서울특별시,"Leeum_ Samsung Museum of Art (삼성미술관 리움)",https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268217,인문(문화/예술/역사),문화시설,미술관/화랑,9963
영어권,성동구,서울특별시,Majang Meat Market (마장 축산물시장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1470972,쇼핑,쇼핑,상설시장,9881
영어권,영등포구,서울특별시,Yeouido Hangang Park (ъ????媛?怨듭??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1064767,인문(문화/예술/역사),휴양관광지,공원,9364
영어권,종로구,서울특별시,Changgyeonggung Palace (창경궁),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264350,인문(문화/예술/역사),역사관광지,고궁,9301
영어권,마포구,서울특별시,Mangwon Market (망원시장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2592401,쇼핑,쇼핑,상설시장,8987
영어권,용산구,서울특별시,Itaewon Shopping Street (이태원 쇼핑거리),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273721,인문(문화/예술/역사),체험관광지,이색체험,8828
영어권,송파구,서울특별시,Lotte World (롯데월드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264152,인문(문화/예술/역사),휴양관광지,테마공원,8479
영어권,용산구,서울특별시,The War Memorial of Korea (??湲곕??愿?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268131,인문(문화/예술/역사),문화시설,기념관,8212
영어권,중구,서울특별시,Myeong-dong (명동),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264312,인문(문화/예술/역사),체험관광지,이색체험,8087
영어권,용산구,서울특별시,Itaewon Shopping Street (댄??? 쇳??嫄곕━),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273721,인문(문화/예술/역사),체험관광지,이색거리,7865
영어권,중구,서울특별시,CAPO FOOTBALL STORE [Korea Quality] / 移댄??蹂ㅽ?[?援愿? ?吏?몄],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2499138,쇼핑,쇼핑,전문매장/상가,7713
영어권,송파구,서울특별시,Lotte World Tower SEOUL SKY (濡?곗????? ?몄?ㅼ뭅,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2493015,인문(문화/예술/역사),건축/조형물,유명건물,7219
영어권,성동구,서울특별시,Seoul Forest (?몄?,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=789696,자연,자연관광지,자연생태관광지,7146
영어권,용산구,서울특별시,National Museum of Korea (援┰以??諛?臾쇨),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268137,인문(문화/예술/역사),문화시설,박물관,7134
영어권,종로구,서울특별시,Jongno 3(sam)-ga Jewelry District (醫?濡?3媛? 洹?湲?? ?臾몄??媛?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273730,쇼핑,쇼핑,전문매장/상가,7028
영어권,종로구,서울특별시,Tosokchon Samgyetang (토속촌삼계탕),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=582457,음식,음식점,한식,6701
영어권,중구,서울특별시,Deoksugung Palace (??沅?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264316,인문(문화/예술/역사),역사관광지,고궁,6646
영어권,종로구,서울특별시,Gwanghwamun Square (愿??臾멸,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=929909,인문(문화/예술/역사),휴양관광지,공원,6474
영어권,서대문구,서울특별시,Seodaemun Prison History Museum (??臾명??臾댁???ш),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268143,인문(문화/예술/역사),문화시설,전시관,6220
영어권,송파구,서울특별시,Lotte World Tower & Mall (濡?곗?????&濡?곗???紐,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2003918,인문(문화/예술/역사),건축/조형물,유명건물,6083
영어권,광진구,서울특별시,Children’s Grand Park (서울 어린이대공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1051832,인문(문화/예술/역사),휴양관광지,테마공원,6029
영어권,강남구,서울특별시,Sinsa-dong Garosu-gil Road (щ?? 媛?濡??湲,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1323377,인문(문화/예술/역사),체험관광지,이색체험,6026
영어권,송파구,서울특별시,Lotte World Shopping Mall (롯데월드 쇼핑몰),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273762,쇼핑,쇼핑,전문매장/상가,5775
영어권,중구,서울특별시,Dongdaemun History & Culture Park (??臾몄??щЦ?怨듭??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1924956,인문(문화/예술/역사),휴양관광지,공원,5700
영어권,성북구,서울특별시,Bukhansan National Park (Seoul District) (遺??곌뎅由쎄났?(?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1747593,자연,자연관광지,국립공원,5446
영어권,종로구,서울특별시,Dongdaemun Shopping Complex·Dongdaemun Shopping Town (동대문 종합시장·동대문 쇼핑타운),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273734,쇼핑,쇼핑,상설시장,5365
