,attraction,location,tag,주소,위도,경도
132,성북동돼지갈비,서울 성북구,#돼지갈비#돼지갈비백반#떡갈비백반#맛집#불고기백반#서울맛집#성북동돼지갈비집#수도권#음식,서울특별시 성북구 성북로 115,37.5932792309,126.996046442
136,황도바지락칼국수,서울 강동구,#냉국수#맛집#왕만두#음식#칼국수,서울특별시 강동구 천호대로 1256(둔촌동),37.5369024462,127.1501867843
137,금왕돈까스,서울 성북구,#금왕정식#돈까스#맛집#생선까스#서울시#성북구#심돈까스#안심돈까스#음식#함박스테이크언론소개_맛집,서울특별시 성북구 성북로 138,37.5948234655,126.9943687731
141,운산,서울 영등포구,#맛집#음식#한정식,서울특별시 영등포구 여의공원로 101 C.C.M.M빌딩,37.5293492744,126.9248991792
145,설마중,서울 서초구,#서울맛집#숯불갈비#외국인도_선호하는#우정을위하여#음식#이심전심#진수#한정식,서울특별시 서초구 남부순환로 2648,37.4878311276,127.0382566953
146,도일처,서울 강서구,#도일처#동파육#맛집#서울맛집#수도권#음식#중식#짜장면,서울특별시 강서구 개화동로 567(방화동),37.5620544928,126.8077561621
147,드럼통 참숯석쇠구이,서울 송파구,#갈비살#갈비살#고기요리#된장찌개#막창#맛집#삼겹살#서울시#송파구#안창살#안창살#열무국수#육류#음식,서울특별시 송파구 삼학사로19길 3,37.5056967688,127.0965731048
148,밀림,서울 종로구,#가볼래터#서울종로구음식점#서울핫플#여행구독#음식#음식점#인스타_핫플레이스#종로구#종로구맛집#창신동#태국음식점,서울특별시 종로구 창신6나길 17-6(창신동),37.5760009646,127.011698283
149,인사동 촌,서울 종로구,#건강한음식#구절편요리담백한_맛#맛집#북촌정식#외국인도_선호하는#음식#철판낙지볶음#한식#한식당#한식맛집#한식전문점#해물파전,서울특별시 종로구 인사동14길 19,37.5749839387,126.9851146234
150,[백년가게]대호정,서울 금천구,#냉삼#돼지갈비#돼지갈비#백년가게#서울맛집#오징어쌈밥#오징어쌈밥#음식,서울특별시 금천구 시흥대로52길 51,37.4536632075,126.9017811913
151,함흥냉면,서울 중구,#냉면#담백한_맛#만두#물냉면#비빔냉면#서울중구맛집#수육#식품의약품안전처_음식점위생등급_매우우수(2017년)#온면#음식#음식점위생등급#정성가득#회냉면,서울특별시 영등포구 영등포로42길 6,37.519044592,126.9068011188
152,삼대할먼네,서울 중구,#떡볶이#맛집#삼대할먼네#서울맛집#수도권#신당동떡볶이#음식,서울특별시 중구 퇴계로76길 54,37.562902542,127.0147678193
156,기와,서울 용산구,#갈비찜#갈비찜#떡갈비#맛집#보리굴비#보리굴비#어탕수#외국인도_선호하는#용산구#음식#한상차림#한정식,서울특별시 용산구 한강대로21나길 40,37.5282417736,126.9642178496
157,감꽃당,서울 종로구,#디저트맛집#사진찍기좋은곳#에그타르트#연인과함께#음식#종로카페#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링여행,서울특별시 종로구 돈화문로11다길 38,37.5738480486,126.9900725369
