Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
서울서둘째로잘하는집,"['대보', '생강', '식혜', '대추차', '맛집', '수정과', '집', '팥죽', '삼청동', '분위기', '음식', '탕']",5,0,0,0,0,3,5,korean
자인뭉티기,"['구이', '명품', '육회', '모', '뭉티기', '맛집', '음식']",3,0,0,0,0,0,3,korean
양반댁,"['반정식', '육회', '합', '댁', '코스', '한정식', '맛집', '수라상', '진지', '농산물', '친환경', '간장게장', '요리', '서울', '교자상', '양반', '음식']",4,0,0,0,0,0,4,korean
아이유푸드,"['정육점', '푸드', '아이유', '친환경', '쇼핑', '판매점', '축산물']",1,0,0,0,0,0,1,korean
미자식당,"['매운탕', '상차림', '맛집', '양념', '회', '음식']",3,0,1,0,0,0,3,korean
곰달래꿈마을,"['휴식', '찍기', '여행', '감성', '골목', '곳', '산책', '투어', '힐링', '연인', '휴양', '사진', '관광지']",0,0,0,0,0,0,0,None
평안도만두집,"['빈대떡', '만두전골', '종로구', '맛집', '김치찌개', '접시', '만두', '만둣국', '음식', '제육']",6,0,0,0,0,0,6,korean
지화자,"['소갈비찜', '만찬', '장금', '선호', '맛집', '전복', '진어', '이수', '외국인', '수라', '초', '소갈비', '음식']",5,1,0,0,0,0,5,korean
인사동그집,"['음식', '맛집']",0,0,0,0,0,0,0,None
라칸티나,"['라자냐', '파스타', '음식', '맛집']",0,0,0,2,0,0,2,west
동적불고기깡통구이 쌍문 본점,"['적', '깡통', '맛집', '쌍문동', '본점', '쌍리', '불고기', '음식', '쌍문']",1,0,0,0,0,0,1,korean
어양,"['해물', '피', '양장', '짜장면', '코스', '탕수육', '맛집', '누룽지', '요리', '짬뽕', '음식', '우럭', '탕']",3,4,0,0,0,0,4,chinese
서래본갈비,"['고깃집', '한우', '생', '식당', '본가', '갈비', '호텔', '분위기', '마을', '음식']",2,0,0,0,1,0,2,korean
단미그린비,"['상견례', '강남', '한정식', '식당', '단', '음식', '자곡동', '그린비']",1,0,0,0,0,0,1,korean
갯마을,"['만두국', '떡국', '만두전골', '용산구', '맛집', '녹두', '손', '만둣국', '음식', '떡']",6,0,0,0,0,1,6,korean
그리츠(GREETS) 글래드호텔 여의도,"['위생', '등급', '음식점', '맛집', '우수', '식품의약품안전처', '영등포', '뷔페', '매우', '음식']",0,0,0,0,1,0,1,etc
아승지,"['정식', '영등포구', '맛집', '서울시', '승지', '음식', '한식']",1,0,0,0,0,0,1,korean
광장싸롱,"['한의원', '빈티', '강남', '종로', '청계천', '통차', '레트로', '광장시장', '음식']",1,0,0,0,0,0,1,korean
태림산채정식,"['더덕', '정식', '건강', '맛집', '산채정식', '불고기', '음식', '이정식']",3,0,0,0,0,0,3,korean
을지로 원형들,"['충무로', '여행', '감성', '딜', '이색', '터', '케이크', '고수', '카페', '디저트', '구독', '음식']",0,0,0,0,0,3,3,cafe
산도토리임자탕,"['식사', '밥', '임자', '도토리', '맛집', '가족', '리전', '추천', '도토리묵', '음식', '도토', '탕']",2,0,0,0,0,0,2,korean
향림,"['노원구', '해삼', '서울시', '밥', '정성', '선호', '맛집', '냉채', '가득', '소고기', '샥스핀', '전복', '야채', '음식', '닭고기', '면류', '중화요리', '류', '두부', '돼지고기', '맛', '외국인']",2,5,0,0,1,0,5,chinese
금용문,"['중식', '가복', '말', '중국집', '용문', '우럭', '금', '돈육', '튀김', '종로구', '맛집', '짬뽕', '식사', '새우', '딤섬', '삼선짜장', '추천', '음식', '코스', '류', '가족', '차돌']",3,6,1,0,0,0,6,chinese
깃대봉냉면,"['냉면', '만두', '음식', '맛집']",2,0,0,0,0,0,2,korean
순희네빈대떡,"['빈대떡', '소개', '완', '맛집', '녹두', '언론', '음식']",2,0,0,0,0,0,2,korean
곰국시집 명동,"['음식', '맛집']",0,0,0,0,0,0,0,None
만강 수서점,"['강남', '한정식', '맛집', '서울', '음식']",1,0,0,0,0,0,1,korean
해담채 서여의도점,"['해', '코스', '담채', '맛집', '영등포', '요리', '음식']",2,0,0,0,0,0,2,korean
다락정,"['만두전골', '김치', '맛집', '만두', '추천', '서울', '삼청동', '불고기', '음식']",4,0,0,0,0,0,4,korean
백원,"['코스', '요리', '음식', '맛집']",0,0,0,0,0,0,0,None
아리차이,"['갑', '아리차', '코스', '국', '맛집', '성비', '음식']",1,0,0,0,0,0,1,korean
익선동 그집,"['종로구', '칼', '칼국수', '맛집', '만두', '익선동', '음식']",2,0,0,0,0,0,2,korean
먹고을전주콩나물국밥 묵동본점,['음식'],0,0,0,0,0,0,0,None
명품기사식당뚝다리김치찌개,"['명품', '전문점', '호', '강동구', '뚝', '맛집', '김치찌개', '식당', '다리', '기사', '음식']",2,0,0,0,0,0,2,korean
요리하는남자,"['코타', '팬', '노소', '안심', '분위기', '남녀', '맛집', '블랙', '치킨', '스테이크', '이탈리아음식', '갑', '식사', '샐러드', '비', '추천', '음식', '양식', '가족', '연인', '가성', '청포', '도리']",0,0,0,5,0,0,5,west
성수족발,"['족발', '성수', '대국', '맛집', '음식점', '서울', '음식']",1,0,0,0,0,0,1,korean
키미아트,"['수도권', '키', '아트', '맛집', '카페', '음식']",0,0,0,0,0,1,1,cafe
문배동 육칼,"['남녀', '여행', '전국', '칼', '칼국수', '육개장', '맛집', '육계장', '친구', '노소', '배동', '서울', '음식']",3,0,0,0,0,0,3,korean
