,Attraction,Subclass,Address,Participants
133,반포 서래섬,섬,서울특별시 서초구 반포동,21
134,둘리뮤지엄,박물관,서울특별시 도봉구 시루봉로1길 6,407
135,응봉산(서울),산,서울특별시 성동구 금호동4가 1540 응봉산,47
136,서울책보고,서점,서울특별시 송파구 오금로 1 서울책보고,333
137,서소문성지역사박물관,박물관,서울특별시 중구 칠패로 5,300
138,[백년가게]선동보리밥,보리밥,서울특별시 성북구 성북로 134-4 선동보리밥,591
139,승진완구,장난감,서울특별시 종로구 종로52길 30,"2,133"
140,스파레이,찜질방,서울특별시 서초구 강남대로107길 5 크레신빌딩,218
141,잠실한강공원,시민공원,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터,70
142,디타워 (replace 광화문),"쇼핑센터,할인매장",서울특별시 종로구 종로3길 17 디타워 광화문,14
143,가락농수산물종합도매시장,시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12
144,이촌한강공원,시민공원,서울특별시 용산구 이촌로72길 62 한강공원 이촌안내센터,40
145,강동그린웨이 가족캠핑장,"캠핑,야영장",서울특별시 강동구 천호대로206길 87,101
146,사육신공원,근린공원,서울특별시 동작구 노량진로 191 사육신묘지공원,14
147,서소문역사공원,근린공원,서울특별시 중구 칠패로 5 서소문공원,11
148,태릉국제스케이트장,스케이트장,서울특별시 노원구 화랑로 681,39
149,대림창고,"카페,디저트",서울특별시 성동구 성수이로 78,"2,176"
150,삼청공원,근린공원,서울특별시 종로구 삼청로 156 삼청공원관리실,20
151,연서시장,시장,서울특별시 은평구 통일로 850 연서시장,214
152,컨퍼런스하우스달개비 정동점,한정식-일반,서울특별시 중구 세종대로19길 16,91
153,겟댓샷(Get That Shot),"카페,디저트",서울특별시 영등포구 경인로 846 롯데백화점영등포점 1층,615
154,박물관은 살아있다(인사동점),테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,773
155,대학로,"거리,골목",서울특별시 종로구 동숭동,11
156,도산공원,테마공원,서울특별시 강남구 도산대로45길 20 도산전시관,44
157,플로팅아일랜드,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,44
158,더 스팟 패뷸러스,"카페,디저트",서울특별시 중구 명동2길 22 1.2층,"2,165"
159,서울상상나라,박물관,서울특별시 광진구 능동로 216 서울상상나라,"2,084"
160,진고개,한식,서울특별시 중구 충무로 19-1,420
161,그랜드 인터컨티넨탈 서울 파르나스,호텔,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스,"1,567"
162,북촌박물관,박물관,서울특별시 종로구 북촌로 39,39
163,서울신라호텔,5성급,서울특별시 중구 동호로 249,"3,956"
164,아차산 어울림정원,"자연,생태공원",서울특별시 광진구 워커힐로 127 아차산 생태공원,20
165,롯데월드 민속박물관,박물관,서울특별시 송파구 올림픽로 240 롯데월드,"1,097"
166,우래옥,냉면,서울특별시 중구 창경궁로 62-29,"4,566"
167,씨랄라 워터파크,워터파크,서울특별시 영등포구 문래로 164 지하 2층,"1,517"
168,밀리오레,"상가, 아케이드",서울특별시 중구 장충단로 263,97
169,노량진수산물도매시장,시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,700
170,인왕산 더숲 초소책방,카페,서울특별시 종로구 인왕산로 172,"4,853"
171,광나루한강공원 암사생태공원,"자연,생태공원",서울특별시 강동구 암사동 616-1,10
172,매헌 시민의 숲,자연공원,서울특별시 서초구 매헌로 99,46
173,도봉산,산,서울특별시 도봉구 도봉동,71
174,서울 암사동 유적,"유적지,사적지",서울특별시 강동구 올림픽로 875,178
175,리얼월드 성수,"관람,체험",서울특별시 성동구 연무장13길 8 메리히어 1층 리얼월드 성수,147
176,롯데월드 아이스링크(실내),아이스링크,서울특별시 송파구 올림픽로 240,"4,979"
177,광나루한강공원,시민공원,서울특별시 강동구 암사동 659-1,15
