video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@user-qt5qo6mu3n,2024-04-26T01:51:45Z,,@user-qt5qo6mu3n,2024-04-26T01:51:45Z,그런짓도 자본이 많아야 가능한건데 가능할꺼라고 보심?
,,@user-cy3bp8gs1n,2024-04-26T02:23:52Z,,@user-cy3bp8gs1n,2024-04-26T02:23:52Z,@@user-qt5qo6mu3n 지금 일본이 제값주고 네이버 지분 빼라고 하는거 같아 보임??
,,@user-qt5qo6mu3n,2024-04-27T13:17:40Z,,@user-qt5qo6mu3n,2024-04-27T13:17:40Z,@@user-cy3bp8gs1n 오히려 더주면 더주지 덜주진않을듯 일본에서 라인은 재난사태 알림도 될정도로 일상화가 되어있음 결국 정하는건 네이버임 절이싫으면 중이나가겠죠 안팔면 일본쪽에서 라인 대체할 상품을 만들수도 있고
,,@user-cy3bp8gs1n,2024-04-27T13:35:26Z,,@user-cy3bp8gs1n,2024-04-27T13:35:26Z,@@user-qt5qo6mu3n 라인 가치가 얼마나 생각하는데?? ㅋㅋㅋ<br>뭘 더 줘죠??? 그건 니 망상이고 ㅋㅋㅋㅋㅋ<br>라인 지배적 사업자 위치에 오른거 누가 몰라???<br>가치가 얼마나 된다고 생각하는데?? <br>일본에서 라인 대체할 상품 만든다고 그리로 사람들이 이동될거 같냐?? 개그좀 그만해
,,@user-cy3bp8gs1n,2024-04-28T03:05:54Z,,@user-cy3bp8gs1n,2024-04-28T03:05:54Z,@@user-qt5qo6mu3n 뭘 더 줘?? 누가 그래? 라인 가치가 얼마인지도 모르면서?
,,@user-cy3bp8gs1n,2024-04-28T03:06:52Z,,@user-cy3bp8gs1n,2024-04-28T03:06:52Z,@@user-qt5qo6mu3n 라인 대체 상품 만든다고 사용자들이 거기로 몰려가냐?<br>우리나라에서 배민 배송료 비싸다고 지자체들이 배달앱 만들어 운영한다고 사람들이 몰려가는거 봤어?
,,@user-cy3bp8gs1n,2024-04-28T03:14:41Z,,@user-cy3bp8gs1n,2024-04-28T03:14:41Z,별것도 아닌데 자동 댓글 삭제 당하네... ㅋㅋ
,,@user-cy3bp8gs1n,2024-04-28T03:15:26Z,,@user-cy3bp8gs1n,2024-04-28T03:15:26Z,"배달앱을 정부에서 만든다고, 배민을 이길까???? ㅋㅋㅋ"
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Aggressive_Osaka8272,2024-04-25T13:30:17Z,....점마들 사가더라도 보안유지 능력 ㄱㅂㅅ이리서 더 개털릴텐데....,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@malcomk,2024-04-25T12:26:37Z,하이브가 뉴진스 뺏아가는거 같은 소리하고있네,,,
