video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@user-mz8vy4fv1f,2024-05-12T13:07:31Z,,@user-mz8vy4fv1f,2024-05-12T13:07:31Z,​@@SixDuckㄴㄴ 그거 찾아보면 한국땅임. 샌프란시스코 조약이후에 scapin 677-1이 발표됨. 거기서 나온 거 외에는 scapin 677조약이 변경된게 없음.  미국에서도 독도는 한국땅으로 규정한거임
,,@user-mz8vy4fv1f,2024-05-12T13:10:11Z,,@user-mz8vy4fv1f,2024-05-12T13:10:11Z,"​@@SixDuck실질적으로는 독도를 일본땅으로 기록이 된게 없음. 특히 샌프란시스코 조약이 가장 결정적인데, 그때 모든 영토에 대한 결정이 났다고 봐야함.<br><br> 근데 그걸 인정안하고 구라 계속 까고 있는게 일본임.<br><br> 그리고 미국같은 경우에는 scapin 677-1에 의한 scapin 677을 인정해버리면 러시아, 중국 땅 또한 인정하는것이기 때문에 &#39;난 몰라~&#39;메타임"
'한국 피땀' 쪽쪽 빨더니…일본 정부가 라인 삼키려는 진짜 이유 / SBS / 모아보는 뉴스,62961,@keien7235,2024-05-11T02:17:57Z,"페이스북도 똑같이 개인정보 유출 있었는데..<br>찍소리도 안함..<br>그냥 한국이 싫고, 한국이 만만한 거임..",,,
,,@user-mf4xr4qs2m,2024-05-11T03:55:28Z,,@user-mf4xr4qs2m,2024-05-11T03:55:28Z,아마존같은 미국기업들 데이터센터 다 일본에 짓는다는데요
,,@synapse1_,2024-05-11T04:51:07Z,,@synapse1_,2024-05-11T04:51:07Z,@@user-mf4xr4qs2m 일본에 데이터센터 지으면 유출이 안된대??<br>보안이랑 하등 상관없는걸 얘기하고있네 <br>보안강화 시정조치랑 무슨상관있음?
,,@niendeiv9898,2024-05-11T05:03:49Z,,@niendeiv9898,2024-05-11T05:03:49Z,​@@synapse1_니 혹시 네이버에서 일본 개인정보 무단으로 수집하고 사용한건 알고 계세요? ㅋㅋㅋㅋㅋㅋ
,,@user-ip6uj5rz1k,2024-05-11T05:10:59Z,,@user-ip6uj5rz1k,2024-05-11T05:10:59Z,"그럼 일본에 데이터 센터 짓게 행정 지도를 해야지, 어렵게 만들어 놓은 회사 지분 팔라는게 더 말이 안되는데?"
,,@user-qm4fz4ek9y,2024-05-11T05:50:44Z,,@user-qm4fz4ek9y,2024-05-11T05:50:44Z,@@niendeiv9898 네이버 회사~ !!!!!에서 한거 확실함?<br>당신 고소 당할라 ㅋㅋ 유언비어 퍼트리는거 중죄임^^<br>할말 있음 해보쇼^^
,,@user-ph3dz9gc1x,2024-05-11T06:38:45Z,,@user-ph3dz9gc1x,2024-05-11T06:38:45Z,​@@niendeiv9898 출처좀
,,@203orion,2024-05-11T06:38:52Z,,@203orion,2024-05-11T06:38:52Z,@@niendeiv9898 무단으로 수집하고 사용한 근거내 내놔요. 말로만 증명할 수 업을 거라고 보고 없는말 지어내지 말고.
