,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
199,툭툭누들타이,Topic 0,0.9696942567825317,0.0,0.0,0.0,0.0
200,금강수림,Topic 1,0.013393605127930641,0.9452251195907593,0.013572316616773605,0.01380703505128622,0.014001891948282719
201,세상의모든아침,Topic 1,0.01129891537129879,0.954950749874115,0.011246963404119015,0.011196463368833065,0.011306945234537125
202,조선옥,Topic 1,0.012613728642463684,0.9493160247802734,0.012736840173602104,0.012698720209300518,0.012634643353521824
203,미 피아체,Topic 2,0.0,0.25756481289863586,0.7199252247810364,0.0,0.0
204,창성옥,Topic 1,0.01695823483169079,0.9323453903198242,0.016867345198988914,0.016948778182268143,0.01688026450574398
205,갯마을풍천장어,Topic 2,0.012562038376927376,0.012721235863864422,0.949298620223999,0.012738666497170925,0.01267941202968359
206,최대감네,Topic 1,0.06787588447332382,0.7271600961685181,0.06815410405397415,0.0683961808681488,0.06841376423835754
207,삼해집,Topic 2,0.014517958275973797,0.46004655957221985,0.49633798003196716,0.014458524994552135,0.014638959430158138
208,유진막국수,Topic 4,0.13782286643981934,0.017066098749637604,0.017124725505709648,0.016994377598166466,0.8109918832778931
209,눈나무집,Topic 2,0.013675165362656116,0.013637148775160313,0.9453297853469849,0.01361106988042593,0.013746831566095352
210,불맛감자국,Topic 1,0.020160838961601257,0.5691510438919067,0.020498251542448997,0.02025473304092884,0.3699350953102112
211,해담채 강남점,Topic 1,0.025191612541675568,0.8985809087753296,0.025538409128785133,0.025460530072450638,0.02522851526737213
212,초우마을,Topic 4,0.018661830574274063,0.018653424456715584,0.018473055213689804,0.36573874950408936,0.5784729719161987
213,대상해,Topic 2,0.033963341265916824,0.03421816974878311,0.8638482689857483,0.03412706032395363,0.03384314104914665
214,왕돈까스&왕냉면,Topic 1,0.06787532567977905,0.7271790504455566,0.0681525394320488,0.06840614974498749,0.06838690489530563
215,루위,Topic 2,0.1993909478187561,0.01281201746314764,0.7624608874320984,0.01266695000231266,0.012669243849813938
216,아리아,Topic 2,0.01006284449249506,0.010198952630162239,0.9594510793685913,0.01015376579016447,0.010133378207683563
217,에도긴,Topic 1,0.01438914705067873,0.9420320391654968,0.0146257933229208,0.014514891430735588,0.014438167214393616
218,초록뜰,Topic 0,0.9523519277572632,0.011903730221092701,0.011878378689289093,0.011960167437791824,0.011905818246304989
219,안성또순이,Topic 1,0.033545851707458496,0.8654331564903259,0.03375276178121567,0.03362608700990677,0.033642109483480453
220,달 카페,Topic 1,0.06787485629320145,0.727195680141449,0.06815185397863388,0.06839089095592499,0.06838671863079071
221,다리원,Topic 1,0.028743967413902283,0.8846421837806702,0.02876495197415352,0.029037149623036385,0.028811724856495857
222,동해복집,Topic 1,0.013490578159689903,0.9457290768623352,0.01359961275011301,0.013653687201440334,0.013527077622711658
223,톰볼라,Topic 2,0.01061837188899517,0.010727799497544765,0.9574036598205566,0.010606464929878712,0.010643762536346912
224,엄마손칼국수,Topic 2,0.02534409984946251,0.02548973076045513,0.8981893062591553,0.025509273633360863,0.02546761743724346
225,고바우소곱창,Topic 1,0.018399450927972794,0.9267541170120239,0.018290698528289795,0.01829465664923191,0.018261099234223366
226,장꼬방김치찌개전문,Topic 4,0.028684884309768677,0.028878893703222275,0.028767190873622894,0.029087921604514122,0.8845811486244202
227,청송본관함흥냉면,Topic 1,0.025905432179570198,0.896713376045227,0.02588195912539959,0.025534847751259804,0.025964392349123955
228,참숯골,Topic 1,0.0135746905580163,0.9455275535583496,0.013653421774506569,0.013606107793748379,0.01363823190331459
229,골목집,Topic 4,0.01682254672050476,0.01750069111585617,0.017500659450888634,0.017237519845366478,0.9309386014938354
230,모뜨,Topic 0,0.9373289942741394,0.01574220135807991,0.01573130115866661,0.015551669523119926,0.015645848587155342
231,셀프하우스,Topic 1,0.06787530332803726,0.7271778583526611,0.06815243512392044,0.06837773323059082,0.06841666996479034
232,삼성 빨간양념 숯불구이,Topic 2,0.028993073850870132,0.02929706685245037,0.8834035992622375,0.029132023453712463,0.029174217954277992
233,진남포면옥,Topic 0,0.9253837466239929,0.018628781661391258,0.018660403788089752,0.018619978800415993,0.018707122653722763
234,성북동집,Topic 4,0.020427582785487175,0.020349428057670593,0.020407119765877724,0.020568981766700745,0.9182469248771667
235,삿뽀로 목동점,Topic 4,0.022570930421352386,0.02249663695693016,0.022365588694810867,0.02237880602478981,0.9101880192756653
236,갓잇(god eat),Topic 1,0.025124846026301384,0.8990057110786438,0.025250745937228203,0.025446297600865364,0.025172371417284012
237,내자상회,Topic 1,0.013564392924308777,0.9458836317062378,0.013551173731684685,0.013432667590677738,0.013568106107413769
238,우리강산,Topic 1,0.01589309796690941,0.4346490204334259,0.32152193784713745,0.21211068332195282,0.015825245529413223
239,방이샤브샤브칼국수 방이본점,Topic 4,0.01839139685034752,0.018399247899651527,0.018450206145644188,0.018406186252832413,0.9263529777526855
240,자원대구탕,Topic 1,0.033544156700372696,0.8655324578285217,0.033588699996471405,0.03370353952050209,0.0336310975253582
241,정감어린,Topic 3,0.022656580433249474,0.022900352254509926,0.02259044349193573,0.908811628818512,0.02304099313914776
242,전주회관,Topic 3,0.012611943297088146,0.01290181279182434,0.01280621811747551,0.9490048885345459,0.012675185687839985
243,우정낙지,Topic 3,0.014445086941123009,0.14931391179561615,0.014577575027942657,0.8071847558021545,0.01447868812829256
244,낙원(메이필드호텔),Topic 4,0.011375779286026955,0.011444207280874252,0.011495000682771206,0.011275327764451504,0.9544097185134888
245,미우미우참숯구이,Topic 1,0.013538439758121967,0.946047842502594,0.01349893119186163,0.013476749882102013,0.013438018038868904
246,용금옥,Topic 0,0.9323855042457581,0.016985377296805382,0.016858749091625214,0.016951797530055046,0.016818616539239883
247,용문집,Topic 1,0.01141324732452631,0.4886641800403595,0.4771072566509247,0.011342007666826248,0.011473339051008224
248,부산복집,Topic 1,0.016818614676594734,0.9321763515472412,0.016938546672463417,0.017156628891825676,0.016909876838326454
249,그릭조이,Topic 2,0.014568525366485119,0.014461725950241089,0.9420949816703796,0.014406911097466946,0.014467873610556126
250,바바인디아 강남역점,Topic 3,0.017051540315151215,0.017036374658346176,0.01704571209847927,0.931992769241333,0.01687363162636757
251,서울리즘,Topic 2,0.018442101776599884,0.018400998786091805,0.9262601137161255,0.018334878608584404,0.01856190897524357
252,홍능갈비집본점,Topic 4,0.022414593026041985,0.022592104971408844,0.022394021973013878,0.022560838609933853,0.910038411617279
253,곰국시집,Topic 0,0.9179674983024597,0.020626628771424294,0.02049446478486061,0.020517516881227493,0.020393867045640945
254,까델루뽀,Topic 1,0.016803966835141182,0.9323878288269043,0.017169317230582237,0.016842614859342575,0.01679627038538456
255,이강순실비집,Topic 1,0.022329462692141533,0.909694492816925,0.0228422898799181,0.022785907611250877,0.022347871214151382
256,영등포복집,Topic 3,0.010598063468933105,0.46077609062194824,0.010765121318399906,0.5071691870689392,0.010691520757973194
